phrase,prompt
I have for dia,Heart hurts
For I have dia,Heart hurts
I have for dia,Heart hurts
Have for I dia,Heart hurts
"I used to be of breath out going after up a dozen of but stairs, I now struggle to breath even when I down sit.",Hard to breath
"Used I to be of out after breath going up a dozen stairs of, but I now struggle to breath when even I down sit.",Hard to breath
"I to used be out breath of after up going a dozen stairs of, now but I struggle breath to even I when sit down.",Hard to breath
"I used to out be of after breath going up dozen a stairs of, but now to struggle I breath when even sit I down.",Hard to breath
feel I that it s ' hard breath to for me specially or after running any making effort,Hard to breath
feel I it that ' s hard breath to me for specially after running or making any effort,Hard to breath
feel I it that ' s hard to for breath me specially running after or making any effort,Hard to breath
i feel that ' s it to hard for breath me specially after running or effort making any,Hard to breath
Read I a book time for along and when finished I reading I head feel ache,Head ache
I read a book along for and time I when finished reading I feel head ache,Head ache
I a read book for along time when and I I finished reading feel ache head,Head ache
I read a for along book time when and finished reading I I feel head ache,Head ache
Cant I because sleep of cold,Injury from sports
i sleep cant of because cold,Injury from sports
Cant I sleep because cold of,Injury from sports
i sleep cant of because cold,Injury from sports
My wound infected fever cause,Skin issue
My wound infected fever cause,Skin issue
Infected wound my cause fever,Skin issue
My infected fever wound cause,Skin issue
I a lose my lot of hair,Body feels weak
I lose lot a my hair of,Body feels weak
I lose a my lot hair of,Body feels weak
Lose I a lot of my hair,Body feels weak
i feel dizzy severe diarrhea after,Feeling dizzy
i dizzy feel after diarrhea severe,Feeling dizzy
feel I dizzy severe after diarrhea,Feeling dizzy
i feel after dizzy diarrhea severe,Feeling dizzy
Feel I a pain in my back,Back pain
A I feel in pain my back,Back pain
I feel in a pain back my,Back pain
Feel I a pain in my back,Back pain
"Laceration rupture, opening in or the skin",Open wound
"Laceration, rupture opening in or skin the",Open wound
"Laceration, rupture in or opening skin the",Open wound
"Laceration rupture, or in opening skin the",Open wound
My back hurts me and can i ' t bend or it walk,Back pain
My back hurts me and i can ' t it or bend walk,Back pain
My back hurts me i and ' can t bend it or walk,Back pain
My hurts back and me can i ' t it bend or walk,Back pain
Head my hurts whenever I try to do something.,Head ache
My head whenever hurts I to try something do.,Head ache
My hurts head whenever try I do to something.,Head ache
Head my hurts whenever I to do try something.,Head ache
I have spots dark on my skin,Skin issue
Have I dark on my spots skin,Skin issue
Have I spots dark on skin my,Skin issue
Have I dark on spots skin my,Skin issue
I feel a pain sharp in my stomach,Internal pain
Feel I a pain in sharp my stomach,Internal pain
I feel sharp pain a my in stomach,Internal pain
I a sharp feel in pain my stomach,Internal pain
I ' can t do I anything feel a weak my body in,Body feels weak
Can I t ' do anything I feel in a weak my body,Body feels weak
Can I t ' do anything I a feel weak my in body,Body feels weak
I can ' t do anything feel I a in weak my body,Body feels weak
Cloudy I have eyes,Blurry vision
I cloudy eyes have,Blurry vision
I have cloudy eyes,Blurry vision
I have cloudy eyes,Blurry vision
I have back a pain since turned I 70 years old.,Back pain
I have a back pain since I 70 years turned old.,Back pain
Have I a back since pain I 70 turned years. old,Back pain
Have a I back since pain turned I 70 years old.,Back pain
To I tried put my glasses to see more clear but cant find change any,Blurry vision
I tried to put my glasses see to more but clear change cant find any,Blurry vision
Tried put I to my glasses see to more clear but cant find change any,Blurry vision
Tried I to put glasses my to see more clear cant but find any change,Blurry vision
I feel deep when Tingling Acne I touch by followed bad sensation,Acne
I Tingling feel deep when touch I Acne followed bad by sensation,Acne
I feel Tingling deep when I Acne touch followed by bad sensation,Acne
I feel Tingling deep when I touch followed Acne by bad sensation,Acne
Acne my gets worse when it is hot,Acne
Acne my worse gets when it hot is,Acne
Acne my worse gets when is it hot,Acne
My acne worse it gets when is hot,Acne
Sometimes I feel a like claw on my chest that leaves. me breathless,Hard to breath
I sometimes feel like claw my a on chest that leaves me. breathless,Hard to breath
I sometimes feel like a on claw my chest that me leaves breathless.,Hard to breath
I sometimes like feel a claw my on that chest me leaves breathless.,Hard to breath
Abdominal my muscles pain have great since i at was GYM,Muscle pain
abdominal have my muscles pain great since i was at GYM,Muscle pain
my abdominal muscles great have pain since i at was GYM,Muscle pain
my muscles abdominal have pain great since i at GYM was,Muscle pain
Back my got injured while was i lifting the gym at,Injury from sports
Back my got injured while i lifting was the gym at,Injury from sports
Back my got while injured was i at lifting the gym,Injury from sports
My got while back injured i was lifting the at gym,Injury from sports
Ankle my hurting is me,Joint pain
my ankle is hurting me,Joint pain
my ankle is hurting me,Joint pain
my ankle hurting me is,Joint pain
Think I my wound infected is,Infected wound
Think my I wound is infected,Infected wound
I think my wound is infected,Infected wound
Think I wound my is infected,Infected wound
i feel pain my knee in,Knee pain
i feel pain in my knee,Knee pain
i feel pain in my knee,Knee pain
i pain feel my in knee,Knee pain
My skin is dry very and peeling.,Skin issue
Skin my is very dry. and peeling,Skin issue
My is skin dry and very peeling.,Skin issue
Skin my is very dry and peeling.,Skin issue
can I t ' move shoulder my because of pain,Shoulder pain
can I ' t my move shoulder of because pain,Shoulder pain
can I ' t move my of shoulder because pain,Shoulder pain
can I ' t move shoulder my because pain of,Shoulder pain
when i wake in up the i morning dizzy feel,Feeling dizzy
I when up wake in the i morning feel dizzy,Feeling dizzy
wake when i in up the morning i feel dizzy,Feeling dizzy
when i wake in up morning the feel i dizzy,Feeling dizzy
Is my hair falling in out huge amount,Hair falling out
Hair my out is falling in huge amount,Hair falling out
My is hair falling in out amount huge,Hair falling out
My hair is falling in out huge amount,Hair falling out
Have I a pain in sharp my neck,Neck pain
I have a sharp neck pain in my,Neck pain
I sharp have a in pain my neck,Neck pain
Have I a pain in sharp my neck,Neck pain
Is in there pain the muscles I do not caused know,Muscle pain
There is pain the in I muscles do not know caused,Muscle pain
There pain in is the I muscles do not caused know,Muscle pain
Is there in pain muscles the I do know not caused,Muscle pain
I have a problem the in expiration i because have abronchial asthma,Hard to breath
I have a problem in the because expiration i asthma abronchial have,Hard to breath
I have a problem the in because expiration have abronchial i asthma,Hard to breath
I have a problem in expiration the i have because asthma abronchial,Hard to breath
"Every time make I an I effort, dizzy felt.",Feeling dizzy
"Every time I make an effort, I dizzy. felt",Feeling dizzy
"I every time an make, effort I felt dizzy.",Feeling dizzy
"Every I time an make, effort felt I dizzy.",Feeling dizzy
A I have powerful pain inside neck my,Neck pain
Have I powerful a pain inside neck my,Neck pain
Have I powerful a pain inside neck my,Neck pain
A I have powerful pain inside neck my,Neck pain
I a have internal pain,Internal pain
Have I a internal pain,Internal pain
Have I a internal pain,Internal pain
I have a pain internal,Internal pain
disease hair chronic of follicles and sebaceous glands.,Acne
chronic disease hair of and follicles glands sebaceous.,Acne
disease of chronic hair follicles and glands sebaceous.,Acne
chronic disease of hair follicles sebaceous and glands.,Acne
Feel I huge a emotional pain after I with broke up girlfriend my.,Emotional pain
Feel I a after huge emotional pain I broke up with girlfriend my.,Emotional pain
Feel I a huge emotional pain after broke I up with girlfriend my.,Emotional pain
I emotional feel a huge pain after I broke up my girlfriend with.,Emotional pain
When I stand too up quickly I start to dizzy feel light and - headed,Feeling dizzy
I when stand up too I start quickly feel to and dizzy light - headed,Feeling dizzy
I when stand up too start quickly I feel to and dizzy light - headed,Feeling dizzy
When I stand too I up quickly to start feel dizzy light and - headed,Feeling dizzy
Often I get sharp a pain my in and chest I ' can t tell I what ' m doing that might triggering it be.,Heart hurts
I often a get sharp pain in my chest and can I ' tell t I what ' m doing that might be triggering it.,Heart hurts
Often I get a pain sharp in chest my I and can ' tell t I what ' m might doing that be triggering it.,Heart hurts
Often I get a pain sharp in chest my and I can t ' tell I what ' doing m that might it be triggering.,Heart hurts
I have feeling a my like whole body complaining is,Joint pain
I have a like feeling my whole body is complaining,Joint pain
Have I a like feeling whole my body is complaining,Joint pain
I a have feeling my like whole is body complaining,Joint pain
My hurts knee I when squash play,Knee pain
Knee my when I hurts play squash,Knee pain
My hurts knee I when squash play,Knee pain
My knee when hurts I play squash,Knee pain
can I t ' see well,Blurry vision
i ' can see t well,Blurry vision
Can I ' t well see,Blurry vision
i ' can t well see,Blurry vision
I alot tried of cream but still feel i the skin same problem,Skin issue
I tried alot i of cream but still the feel same skin problem,Skin issue
Tried I alot cream of but i still the feel same problem skin,Skin issue
Tried I alot of cream but still i feel same the problem skin,Skin issue
Feels it like stuck someone knife a into my shoulder,Shoulder pain
Like it feels someone stuck a knife into shoulder my,Shoulder pain
It feels someone like stuck knife into a my shoulder,Shoulder pain
It feels someone like stuck into a knife my shoulder,Shoulder pain
Feel I a burning sensation my in muscle shoulder.,Muscle pain
I feel a burning sensation my shoulder in. muscle,Muscle pain
I feel a burning sensation in my muscle shoulder.,Muscle pain
I a feel burning sensation in shoulder my. muscle,Muscle pain
I my cut foot pool at the and breaks it open day every I when walk on it.,Open wound
I cut at my foot the pool and open it breaks every day when walk I it on.,Open wound
Cut I my foot at the it pool and breaks every open day when walk I on. it,Open wound
Cut foot I my the at pool and it breaks open every when I day walk on it.,Open wound
Knee my catches hurts and when I first stand up after sitting.,Knee pain
My knee catches hurts and when I stand first up after sitting.,Knee pain
My catches knee and hurts when first I stand up. after sitting,Knee pain
My knee and catches hurts when first I stand up after sitting.,Knee pain
I my cut a hand couple of weeks and ago even though keep I using an antibiotic cream ' it s getting not better.,Infected wound
Cut I hand my of a couple weeks and ago though I even keep an using antibiotic cream it ' s not getting better.,Infected wound
I my cut hand a couple weeks of and even ago I though keep using an antibiotic cream s it ' getting not better.,Infected wound
Cut hand I my a couple of weeks ago and even I though keep using an cream antibiotic it ' not s getting better.,Infected wound
I feel pain in my shoulders when I the write on keyboard.,Shoulder pain
Feel I in pain my when shoulders write I on the keyboard.,Shoulder pain
I pain feel in shoulders my I when write on keyboard the.,Shoulder pain
I feel pain in my shoulders write I on when the keyboard.,Shoulder pain
i a have in problem seeing objects too it is difficult to see,Blurry vision
i have a problem seeing objects in it is difficult too see to,Blurry vision
i have a problem in seeing objects it is too difficult to see,Blurry vision
i have a problem seeing objects in it too is difficult see to,Blurry vision
glass and wound my broken badly leg the wound is so wide,Open wound
and glass broken wound my leg badly wound the is wide so,Open wound
broken glass and wound leg my badly wound the is wide so,Open wound
glass broken and my wound leg badly wound the is so wide,Open wound
"I a blurry have vision during swimming my in training pool the, why?",Blurry vision
"Have I a blurry my during vision swimming in training the pool, why?",Blurry vision
"I have a vision blurry during my swimming pool training in the why,?",Blurry vision
"Have a I blurry vision during swimming my training in the pool, why?",Blurry vision
I to love and walk outside be but the of bottoms my sore feet get so quickly.,Foot ache
I love to and walk be the outside but bottoms my feet of get so sore quickly.,Foot ache
Love I walk to be and outside the but bottoms of feet my sore get so quickly.,Foot ache
I walk love to and be outside but bottoms the my of feet get so sore. quickly,Foot ache
Feel I in pain knee when my I climb the stairs.,Joint pain
I pain feel in my knee when I climb the. stairs,Joint pain
I feel in pain when my knee I climb stairs the.,Joint pain
Feel I pain in my knee climb when I stairs the.,Joint pain
"I get too tired fast can, I barely put my on in clothes morning the.",Body feels weak
"I too get tired fast, can I put barely my on clothes the in morning.",Body feels weak
"Get I tired too fast, can barely I put my on clothes the in. morning",Body feels weak
"Get I tired too fast, I can barely put on my clothes the in morning.",Body feels weak
Knee my when hurts I walk,Knee pain
Knee my hurts I when walk,Knee pain
My knee hurts I walk when,Knee pain
My knee hurts when I walk,Knee pain
i can rotate ' t neck my,Neck pain
I can ' rotate t my neck,Neck pain
i ' t can rotate neck my,Neck pain
can I ' rotate my t neck,Neck pain
Son my his nicked neck with an old and razor that spot become has and inflamed looks is like it infected.,Infected wound
My son nicked neck his an old with and razor that spot become has inflamed looks and it like is infected.,Infected wound
My son his nicked with an neck old razor and that spot inflamed has become and looks like it is infected.,Infected wound
Son my his nicked neck an with old razor and has that spot become inflamed and like it looks is infected.,Infected wound
Have I problem a in my back i cannot extend it,Back pain
have I problem in a my back cannot i extend it,Back pain
I have a problem my in back cannot i extend it,Back pain
have I a problem my in back i cannot extend it,Back pain
Can I ' t because walk i a have great ache foot,Foot ache
I can ' walk t because i a great have ache foot,Foot ache
Can ' I t walk because i a have great ache foot,Foot ache
Can I ' walk t because i a have great ache foot,Foot ache
My heart beating is and fast it me scares.,Heart hurts
Heart my is fast beating and scares it me.,Heart hurts
My heart is beating and fast it scares me.,Heart hurts
My heart beating is fast and it scares me.,Heart hurts
To I used have acne when was I 15 old years,Acne
To I used acne have when was I 15 years old,Acne
To I used have acne when I 15 was old years,Acne
Used I have to acne I when 15 was years old,Acne
My muscles my lower in are back aching.,Muscle pain
Muscles my my in lower back aching are.,Muscle pain
My muscles in my back lower are aching.,Muscle pain
Muscles my in my are lower back aching.,Muscle pain
Shoulder my muscle hurts I when to try up reach.,Muscle pain
Shoulder my hurts muscle I when try reach to up.,Muscle pain
Shoulder my muscle hurts when try I to. reach up,Muscle pain
Shoulder muscle my hurts when try I to up reach.,Muscle pain
I feel heart when pain I walk a lot,Heart hurts
I heart feel when pain walk I a lot,Heart hurts
Feel I pain heart when I a walk lot,Heart hurts
I heart feel when pain I a walk lot,Heart hurts
Skin my itchy is and inflamed,Skin issue
My skin is itchy and inflamed,Skin issue
My skin is itchy and inflamed,Skin issue
Skin my is and itchy inflamed,Skin issue
Have I cold a and it makes cough me alot,Cough
I have a cold and it me makes cough alot,Cough
I have a cold it and makes me cough alot,Cough
I a cold have and it makes me alot cough,Cough
I have a dry throat,Cough
Have I dry a throat,Cough
Have I a throat dry,Cough
Have I a throat dry,Cough
I m ' not well hearing I with have problem my ear,Ear ache
I ' m hearing not well have I problem ear with my,Ear ache
' I m hearing not well I have problem ear with my,Ear ache
' I m not hearing well I have problem with ear my,Ear ache
My is foot so hurting. much,Foot ache
My foot is so hurting much.,Foot ache
Foot my is hurting so much.,Foot ache
My foot is hurting much so.,Foot ache
Shower my drain full of is hair every time.,Hair falling out
My drain shower is hair full of every time.,Hair falling out
My shower is full drain of hair time every.,Hair falling out
My shower drain is full of every hair time.,Hair falling out
Have I front head pain and when I get the it light bothers. me,Head ache
Have I front pain head and get when I it light the bothers me.,Head ache
Have I front head and pain when I get it light the me. bothers,Head ache
I have head front pain and I get when the it light bothers. me,Head ache
Though even ' I an m my adult face keeps breaking in out pimples.,Acne
Though even I ' m an face adult my breaking keeps in out pimples.,Acne
Though I even ' m an adult face my keeps out in breaking pimples.,Acne
Even though I ' m an face adult my keeps out breaking in pimples.,Acne
When I get out bed of in the morning my body feels very weak.,Body feels weak
I when get of out bed in the morning my body feels weak very.,Body feels weak
When get I bed out of the in morning my body very feels weak.,Body feels weak
I when get out bed of in morning the my feels body weak very.,Body feels weak
"surgical wounds, red firing pus and, painful hot to touch the",Infected wound
"wounds surgical red, firing painful pus, and hot the to touch",Infected wound
"Wounds surgical red firing, , pus painful hot and to the touch",Infected wound
"surgical red wounds firing, pus, painful and to the hot touch",Infected wound
Something feel like is being jabbed my into joints,Joint pain
Feel like something being jabbed is into joints my,Joint pain
Feel like is something jabbed being into joints my,Joint pain
Like feel something is being jabbed into my joints,Joint pain
The arches of my hurt feet I when heels wear,Foot ache
Arches of the my feet hurt when wear I heels,Foot ache
The arches my of hurt feet when wear I heels,Foot ache
The arches of feet my hurt when I wear heels,Foot ache
Feel I in pain lower the back,Back pain
I feel pain the back in lower,Back pain
I pain feel the in back lower,Back pain
Feel pain I in the back lower,Back pain
Have I dull a in ache my head,Head ache
Have I dull ache a in my head,Head ache
A I have dull ache my in head,Head ache
I have a ache in dull head my,Head ache
I feel a pain my in neck,Neck pain
I feel pain a neck in my,Neck pain
Feel I a in pain neck my,Neck pain
Feel I pain a in neck my,Neck pain
have I pain but i can ' specify place t,Internal pain
i have pain but i can ' t place specify,Internal pain
I have pain but i can ' t place specify,Internal pain
i pain have can but i ' t specify place,Internal pain
Have I ear that an ache won ' t go away. don I ' have t a or cold headache or any other symptoms Just. earache an.,Ear ache
Have I an ear ache won that ' t go away. I don ' t cold have a or or any headache other symptoms Just. an. earache,Ear ache
I ear have an ache that won ' go t away. don I t ' have cold a headache or or any symptoms other Just. an earache.,Ear ache
I have ear an ache ' that won t go. away don I ' t have a cold or or headache any other. symptoms Just an earache.,Ear ache
Feel joint I pain every time move I,Joint pain
Feel joint I pain time every I move,Joint pain
Feel I joint pain every time I move,Joint pain
Feel I pain joint every time move I,Joint pain
Have I hard a pain in stomach my,Stomach ache
a I have hard pain in stomach my,Stomach ache
i have hard a in pain stomach my,Stomach ache
have I a hard pain stomach in my,Stomach ache
"Left my ear is ok, but right the one feels like ' s it stabbed being with. a nail",Ear ache
"Left my ear ok is, the but right feels one it like ' s being with stabbed nail a.",Ear ache
"My left is ear, ok but right feels the one like s it ' being stabbed with a nail.",Ear ache
"My ear left is ok, right but the one feels ' like it being s stabbed with nail a.",Ear ache
I need a of cream kind make wich my muscles relaxed more,Muscle pain
I need a kind of wich make cream muscles my relaxed more,Muscle pain
I a need kind cream of make wich muscles my more relaxed,Muscle pain
I need kind of a cream wich make my relaxed muscles more,Muscle pain
I a have pain back I fell since on the floor.,Back pain
I have a since pain back I fell on the. floor,Back pain
I have back a since pain I fell on the floor.,Back pain
I have a back pain since I fell on the floor.,Back pain
Feel I lightheaded,Feeling dizzy
I lightheaded feel,Feeling dizzy
Feel I lightheaded,Feeling dizzy
I lightheaded feel,Feeling dizzy
Body my aches the on inside between hips my and. shoulders,Internal pain
My body aches on the inside between hips my shoulders and.,Internal pain
My aches body on inside the my hips between and shoulders.,Internal pain
My body aches inside on the my between hips and. shoulders,Internal pain
I a have foot after ache 500m running my with running shoes.,Foot ache
I have a ache foot after running with 500m my running shoes.,Foot ache
I have foot a ache after running 500m with my running. shoes,Foot ache
I have a foot after ache running 500m with running my shoes.,Foot ache
"Was I with diagnosed B12 - deficiency anemia, explains which I why always felt cold.",Feeling cold
"I diagnosed was with - B12 deficiency anemia, explains why which always I cold felt.",Feeling cold
"I diagnosed was B12 with - deficiency explains anemia, which why always I felt cold.",Feeling cold
"I was diagnosed with B12 - deficiency which anemia, why explains I always cold felt.",Feeling cold
"i feel, lot hurt of in pain my heart",Emotional pain
"feel I hurt, of lot pain in heart my",Emotional pain
"I feel hurt, lot of pain in heart my",Emotional pain
"feel I hurt, lot of in pain heart my",Emotional pain
Break I on out my very face frequently,Acne
Break I my out on face very frequently,Acne
Break I out on my face very frequently,Acne
I break out on my face frequently very,Acne
Have I tried to relief it but can I ' t,Body feels weak
I tried have to relief it but I can t ',Body feels weak
Have I tried relief to it I can but ' t,Body feels weak
I have tried to relief but it can t I ',Body feels weak
I sports stopped because I Injury get sports from,Injury from sports
I stopped sports I because Injury from get sports,Injury from sports
Stopped sports I I because get Injury from sports,Injury from sports
I sports stopped I because Injury get from sports,Injury from sports
Time every I take a breath deep I coughing start,Cough
Time every I a take deep breath start I coughing,Cough
Every I time take a breath deep start I coughing,Cough
I every time a take deep breath I start coughing,Cough
when i my leg extend there pain is in joint knee,Joint pain
my when i extend leg there is pain knee in joint,Joint pain
extend when i leg my there is pain knee in joint,Joint pain
when i leg extend my is there pain in joint knee,Joint pain
head my hurts badly me,Head ache
my head hurts me badly,Head ache
head my hurts badly me,Head ache
my head badly hurts me,Head ache
when i was my washing hair falling was it out heavily,Hair falling out
I when was washing my hair it was out falling heavily,Hair falling out
I when washing was my hair it was heavily falling out,Hair falling out
I when was washing hair my it falling was heavily out,Hair falling out
My I hate acne.,Acne
Hate I my. acne,Acne
I acne hate my.,Acne
My I hate acne.,Acne
i have pain like in needles my joints.,Joint pain
i have like pain needles my in. joints,Joint pain
i like have needles pain in my joints.,Joint pain
i have pain like needles in joints my.,Joint pain
i have great a in pain my from thorax injury heart,Heart hurts
have I a pain in great my thorax from injury heart,Heart hurts
have I great pain a in my thorax from injury heart,Heart hurts
i a have great in my pain thorax from injury heart,Heart hurts
I ' don know t why I ' constantly m. sad,Emotional pain
Don I ' know t why I ' sad m constantly.,Emotional pain
Don I ' t why know I ' m constantly sad.,Emotional pain
Don I ' know t why I m ' constantly. sad,Emotional pain
i feel in pain neck my,Neck pain
feel I pain my in neck,Neck pain
Feel I in pain my neck,Neck pain
feel I pain in neck my,Neck pain
Muscles my tired feel,Body feels weak
Muscles feel my tired,Body feels weak
Muscles feel my tired,Body feels weak
My tired muscles feel,Body feels weak
i pain feel my in stomach,Stomach ache
i feel pain stomach in my,Stomach ache
feel pain I in my stomach,Stomach ache
feel I in pain my stomach,Stomach ache
"I a have foot ache in or winter, when it cold feels, ? why",Foot ache
"Have I foot a ache in winter or, it when cold feels, why?",Foot ache
"Have I a ache foot winter in, or when it cold feels, ? why",Foot ache
"I foot have a winter ache in, or it when feels cold, why?",Foot ache
Back my hurting so is much.,Back pain
My back is hurting so. much,Back pain
Back my is hurting much. so,Back pain
Back my hurting is so. much,Back pain
The pain feels like it ' s the right below skin,Muscle pain
The feels it pain like s ' right below the skin,Muscle pain
The pain feels it like ' right s skin below the,Muscle pain
The feels like pain it ' right below s the skin,Muscle pain
"I am struggling to on bear weight knee my, when i stand straight I feel and hear loud a noise popping.",Knee pain
"I struggling am bear to weight on knee my when, i stand straight I feel hear and popping a loud noise.",Knee pain
"I bear am struggling to on weight my knee, when stand i straight I feel and hear loud a noise popping.",Knee pain
"I struggling am to on bear weight knee my, when stand i straight feel I hear and a loud popping noise.",Knee pain
Is there a sharp pain in my bicep. have tried apply I pain to relief cream but it does help not.,Muscle pain
Is there sharp a pain in my bicep. have I tried to pain apply cream relief but does it help not.,Muscle pain
There is a sharp my pain in bicep. I have tried apply to cream pain relief but it not does. help,Muscle pain
There is a sharp pain in my bicep. I have tried pain to apply relief cream it but does not help.,Muscle pain
"Child my has cough all night, can she ' t sleep",Cough
"child my has all night cough, she ' can t sleep",Cough
"Child my has all cough night, can she t ' sleep",Cough
"child my has all cough night, ' she can t sleep",Cough
"Dizzy I when feel I set in - of front laptop my for hour an two or what, possibly could be the reason?",Feeling dizzy
"I feel dizzy when I set in - front of my for hour laptop an two or, what possibly be could reason the?",Feeling dizzy
"Feel I dizzy when I in set front - of my for laptop an hour or two, possibly what could be reason the?",Feeling dizzy
"I dizzy feel when set I in - of front my for an laptop hour or, two what could be possibly the reason?",Feeling dizzy
When I play sports some I burning have sensation in spine my,Back pain
When sports I play I have some burning in sensation spine my,Back pain
I when play sports I have some burning sensation in spine my,Back pain
I when play sports I some have burning in sensation spine my,Back pain
I a have hard muscle since pain i the went to gym,Muscle pain
Have I hard a muscle pain went since i to the gym,Muscle pain
I have hard muscle a pain since to i went the gym,Muscle pain
A I have hard muscle pain since i went the gym to,Muscle pain
hair falling my out,Hair falling out
Hair my out falling,Hair falling out
Hair my out falling,Hair falling out
hair my out falling,Hair falling out
Feel I on aching insides my.,Internal pain
Feel I aching on my insides.,Internal pain
I on feel aching insides my.,Internal pain
On I feel aching my insides.,Internal pain
I this strange have rash on arm my.,Skin issue
I have this rash strange on arm. my,Skin issue
I have strange rash this my on arm.,Skin issue
This I have strange on rash my arm.,Skin issue
Face my break badly every out around month my cycle.,Acne
Break my face out badly every around month cycle my.,Acne
Face my badly break out every around month my cycle.,Acne
My face break out every badly month around cycle my.,Acne
Have a I lot of mucus when cough I.,Cough
I a lot have of when mucus I cough.,Cough
I a have of lot mucus when I. cough,Cough
I have lot a of when I mucus cough.,Cough
' I disappointed m,Emotional pain
' m I disappointed,Emotional pain
i ' m disappointed,Emotional pain
i m disappointed ',Emotional pain
Often I get a stomach ache after eat I. haven I t ' able been pinpoint to foods which be might the trigger.,Stomach ache
I get often a stomach ache I after eat. I haven t ' been pinpoint able to foods which might the be. trigger,Stomach ache
I often a get stomach ache I after eat. I ' haven been t to able which pinpoint foods might the be. trigger,Stomach ache
I often a after get stomach I ache eat. I haven ' t able been to which pinpoint foods might be trigger the.,Stomach ache
I playing was and soccer I twisted ankle my,Injury from sports
Was I playing and soccer twisted I my ankle,Injury from sports
Was I and playing soccer I twisted my ankle,Injury from sports
I was soccer playing and I ankle twisted my,Injury from sports
Son squeezed my a pimple it and broke only open to scab now over and looks it like is infected.,Infected wound
My son a squeezed and pimple broke it open only to over scab now and looks it like infected is.,Infected wound
My son squeezed pimple a and it broke open scab only to and over looks now like it is infected.,Infected wound
My son squeezed pimple a and broke it only open to scab and over now like it looks infected is.,Infected wound
Feel I so my sore in stomach area.,Stomach ache
I feel so in sore my stomach area.,Stomach ache
I feel sore so my stomach in area.,Stomach ache
I sore feel so my in stomach area.,Stomach ache
i shoulder have pain doing after home any work.,Shoulder pain
i shoulder have pain after any doing work home.,Shoulder pain
i shoulder have pain doing after any work home.,Shoulder pain
i have shoulder after doing pain any work home.,Shoulder pain
"laceration rupture or, opening in skin the",Open wound
", laceration rupture opening or the in skin",Open wound
", rupture laceration or in opening the skin",Open wound
"laceration, or rupture in opening skin the",Open wound
I ' can carry t anything I have a pain in my shoulder,Shoulder pain
I can carry ' t anything I have a pain in my shoulder,Shoulder pain
Can I ' t anything carry I have in a pain my shoulder,Shoulder pain
Can I ' t carry I anything a have pain my in shoulder,Shoulder pain
How do know you if you have a meniscus torn your in knee?,Knee pain
Do how you know if have you a torn meniscus your in knee?,Knee pain
Do you how know if you have a meniscus torn your in? knee,Knee pain
